market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
"MIAPVD",1,1,0,1,0,0,1.209,2.13042,.2116254,5.15,3.125589,2.85905,0,0,.5228094,.5861897,.2444223,.5319083,.0884956,.2535211,.6913675,.2387711,.6913675,.0310063,.0011527,.0540783
"MIARDU",1,1,0,1,1,0,.7,1.750016,.2116254,4.75,3.306599,2.065838,0,0,.5251058,.6609754,.1867064,.4579646,.1944017,.2173913,1.63445,.3589001,1.63445,.1159453,.0025502,.7183841
"MIARIC",0,1,0,1,0,0,.826,1.808938,.2116254,4.95,3.195253,2.384856,0,0,.4737565,.6634117,.1623436,.6045163,.0884956,0,1.226308,.3022296,1.226308,.0986064,.0013668,.2928821
"MIAROC",1,0,0,1,1,0,1.204,1.846987,.2116254,3.55,3.10785,2.304938,0,0,.5146625,.3970155,.2870901,.5707097,.1119209,0,.4324684,.1171208,.4324684,.0172148,.0012173,.0172628
"MIARSW",1,0,0,0,0,0,.105,2.00706,.2116254,7.75,3.159,1.532724,0,0,.505331,.6740057,.1226677,.4489285,.1969293,0,19.32655,9.587173,21.09628,10.93727,0,16.18003
"MIASAN",1,1,0,1,0,0,2.267,2.550619,.2116254,4.55,3.297854,3.824671,0,0,.6285014,.5995758,.3378922,.3236671,.0884956,.1942149,.0086413,.0086413,.1283557,0,0,0
"MIASAT",1,1,0,1,0,0,1.143,1.760311,.2116254,3.55,2.953402,2.988944,0,0,.6503597,.6550327,.222769,.4131172,.0884956,.2056075,.1954661,.1954661,.9597153,.0081595,0,.0017548
"MIASDF",0,1,0,1,0,0,.911,1.348751,.2116254,4.15,3.118358,2.449243,0,0,.5010165,.6766922,.1849438,.3768835,.0936379,.2297297,.6296601,.007357,.6296601,.0836878,.0015405,.5815403
"MIASEA",1,1,1,1,0,0,2.724,2.747176,.2116254,3,3.491496,3.979355,0,0,.5844571,.6082666,.3645877,.369469,.1031746,.1507937,.0189982,.017552,.0015225,.0400703,0,.0044823
"MIASFO",1,1,1,1,1,0,2.585,2.743271,.1120481,2.05,3.987333,4.623432,0,0,.6042984,.5874916,.4383506,.3634268,.0884956,0,0,0,.0332011,0,0,0
"MIASJC",1,0,0,1,0,0,2.559,2.722422,.2116254,2.05,3.987333,4.623432,0,0,.7239895,.4942598,.4079168,.2611217,.0884956,.2432432,0,0,.0362967,0,0,0
"MIASLC",1,1,1,1,0,0,2.088,2.173758,.2116254,5.05,3.053989,2.244958,0,0,.5713314,.7251775,.3688613,.2238646,.0884956,.2197802,.0083934,.0083934,.0038057,.0322172,0,.0369244
"MIASMF",1,0,1,1,0,0,2.552,2.689723,.2116254,5.25,3.141573,3.091183,0,0,.5888543,.5212868,.4417006,.288388,.0884956,.2635135,0,0,.0239583,.0056241,0,.0056241
"MIASNA",1,1,0,1,0,0,2.31,2.565524,.2116254,4.6,3.208586,8.014112,0,0,.6793436,.4641537,.4017587,.2712557,.0884956,.056962,.0045541,.0045541,.1042838,0,0,0
"MIASRQ",0,0,0,0,0,0,.178,1.930658,.2116254,5.5,3.450841,1.760524,0,0,.3185841,.7873341,.1106195,.4475479,.0884956,0,10.58947,4.850007,11.63854,5.744824,.0022649,8.776625
"MIASTL",1,1,0,1,0,0,1.068,1.126349,.2116254,3.1,3.177841,3.730582,0,0,.6561909,.4467892,.2260041,.3361697,.0884956,.2051282,.3634429,.0102602,.3634429,.1475556,.00077,.3424925
"MIASYR",1,1,0,1,0,0,1.217,1.920541,.2116254,2.65,2.963243,1.824562,0,0,.4748341,.5165008,.1731195,.5725479,.0884956,0,.4818891,.1413115,.4818891,.0209343,.0014131,.0030521
"MIATOL",1,1,0,1,1,0,1.107,1.519909,.2116254,2.45,2.994726,1.837358,0,0,.5108918,.5878149,.1106195,.4002723,.3577264,0,.2750722,.021868,.2750722,.0102161,.0017986,.2264368
"MIATPA",1,0,0,0,0,0,.204,1.897879,.1023103,4.25,3.06834,3.536276,0,0,.5233085,.6847258,.2208557,.4284371,.1790468,.1574803,9.031039,3.916307,9.840502,4.691132,.0027291,7.492085
"MIATRI",0,1,0,0,0,0,.747,1.544072,.2116254,4.3,2.714725,.9651963,0,0,.3185841,.7685841,.1606195,.2079646,.0884956,0,1.247244,.1010616,1.247244,.0328845,.0014893,.7555714
"MIATUL",1,0,0,1,0,0,1.168,1.332513,.2116254,6.7,3.169842,2.107885,0,0,.7428265,.507978,.2091043,.2463797,.0884956,.280303,.1614196,.0855259,.5265973,.1921546,0,.2046919
"MIATUS",1,0,0,1,0,0,1.9,2.231686,.2116254,4.35,2.842612,2.099422,0,0,.6229319,.4997435,.2483006,.3675131,.0884956,.1304348,.0157313,.0157313,.2343657,0,0,0
"MIATYS",0,1,0,0,0,0,.724,1.473707,.2116254,3.9,2.972456,1.788197,0,0,.3442251,.7929431,.149081,.2592466,.0884956,0,1.311002,.032884,1.311002,.1444036,.0023123,.9484002
"MKEMSY",1,1,0,1,1,0,.903,.9384088,.6532925,5.15,3.098059,1.405521,0,0,.4396135,.5250134,.2728395,.5609769,.1630166,.2043478,.0021358,.1279179,.0021358,.2889275,.0012253,.0042792
"MKEOKC",1,0,0,0,0,0,.736,.7844629,.67125,5.45,3.100281,1.291174,0,0,.5822222,.4328395,.3061728,.5160494,.154321,.2666667,.0312026,.39727,.0312026,.3467213,0,.0156982
"MKEOMA",0,0,0,0,1,0,.426,.7349482,.5476629,3.75,3.313702,1.080814,0,0,.6010101,.2713244,.4758698,.6402918,.2225028,.2121212,.1308019,1.181529,.1308019,.3571647,0,.1799353
"MKEORD",1,0,1,0,0,0,.067,.7246854,.1550676,2.6,3.448797,3.722143,0,0,.5686275,.4081336,.483297,.5526507,.154321,0,.0018657,7.682788,.0018657,6.031706,.0018657,.4373068
